Region,location_id,age_group_id,sex_id,year_id,cause_name,level,severity,metric_id,mean,lower,upper
EMR,44567,22,2,2021,Zika virus,3,moderate and severe,3,0,0,0
EMR,44567,22,2,2021,Prostate cancer,3,moderate and severe,3,0,0,0
EMR,44567,22,2,2021,Testicular cancer,3,moderate and severe,3,0,0,0
EMR,44567,22,2,2021,Chagas disease,3,moderate and severe,1,0,0,0
EMR,44567,22,2,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
EMR,44567,22,2,2021,Ebola,3,moderate and severe,1,0,0,0
EMR,44567,22,2,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
EMR,44567,22,2,2021,Zika virus,3,moderate and severe,1,0,0,0
EMR,44567,22,2,2021,Prostate cancer,3,moderate and severe,1,0,0,0
EMR,44567,22,2,2021,Testicular cancer,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Schistosomiasis,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Trachoma,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Dengue,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Malaria,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Ebola,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Zika virus,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Prostate cancer,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Testicular cancer,3,moderate and severe,3,0,0,0
EUR,44566,22,2,2021,Schistosomiasis,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Trachoma,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Dengue,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Malaria,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Ebola,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Zika virus,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Prostate cancer,3,moderate and severe,1,0,0,0
EUR,44566,22,2,2021,Testicular cancer,3,moderate and severe,1,0,0,0
SEAR,44565,22,2,2021,Chagas disease,3,moderate and severe,3,0,0,0
SEAR,44565,22,2,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
SEAR,44565,22,2,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
SEAR,44565,22,2,2021,Ebola,3,moderate and severe,3,0,0,0
SEAR,44565,22,2,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
SEAR,44565,22,2,2021,Zika virus,3,moderate and severe,3,0,0,0
SEAR,44565,22,2,2021,Prostate cancer,3,moderate and severe,3,0,0,0
SEAR,44565,22,2,2021,Testicular cancer,3,moderate and severe,3,0,0,0
SEAR,44565,22,2,2021,Chagas disease,3,moderate and severe,1,0,0,0
SEAR,44565,22,2,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
SEAR,44565,22,2,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
SEAR,44565,22,2,2021,Ebola,3,moderate and severe,1,0,0,0
SEAR,44565,22,2,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
SEAR,44565,22,2,2021,Zika virus,3,moderate and severe,1,0,0,0
SEAR,44565,22,2,2021,Prostate cancer,3,moderate and severe,1,0,0,0
SEAR,44565,22,2,2021,Testicular cancer,3,moderate and severe,1,0,0,0
WPR,44568,22,2,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
WPR,44568,22,2,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
WPR,44568,22,2,2021,Ebola,3,moderate and severe,3,0,0,0
WPR,44568,22,2,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
WPR,44568,22,2,2021,Zika virus,3,moderate and severe,3,0,0,0
WPR,44568,22,2,2021,Prostate cancer,3,moderate and severe,3,0,0,0
WPR,44568,22,2,2021,Testicular cancer,3,moderate and severe,3,0,0,0
WPR,44568,22,2,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
WPR,44568,22,2,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
WPR,44568,22,2,2021,Ebola,3,moderate and severe,1,0,0,0
WPR,44568,22,2,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
WPR,44568,22,2,2021,Zika virus,3,moderate and severe,1,0,0,0
WPR,44568,22,2,2021,Prostate cancer,3,moderate and severe,1,0,0,0
WPR,44568,22,2,2021,Testicular cancer,3,moderate and severe,1,0,0,0
AFR,44563,22,3,2021,Chagas disease,3,moderate and severe,3,0,0,0
AFR,44563,22,3,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
AFR,44563,22,3,2021,Zika virus,3,moderate and severe,3,0,0,0
AFR,44563,22,3,2021,Chagas disease,3,moderate and severe,1,0,0,0
AFR,44563,22,3,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
AFR,44563,22,3,2021,Zika virus,3,moderate and severe,1,0,0,0
AMR,44564,22,3,2021,Ebola,3,moderate and severe,3,0,0,0
AMR,44564,22,3,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
AMR,44564,22,3,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
AMR,44564,22,3,2021,Ebola,3,moderate and severe,1,0,0,0
AMR,44564,22,3,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
AMR,44564,22,3,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
EMR,44567,22,3,2021,Chagas disease,3,moderate and severe,3,0,0,0
EMR,44567,22,3,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
EMR,44567,22,3,2021,Ebola,3,moderate and severe,3,0,0,0
EMR,44567,22,3,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
EMR,44567,22,3,2021,Zika virus,3,moderate and severe,3,0,0,0
EMR,44567,22,3,2021,Chagas disease,3,moderate and severe,1,0,0,0
EMR,44567,22,3,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
EMR,44567,22,3,2021,Ebola,3,moderate and severe,1,0,0,0
EMR,44567,22,3,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
EMR,44567,22,3,2021,Zika virus,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Schistosomiasis,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Trachoma,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Dengue,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Malaria,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Ebola,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Zika virus,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
EUR,44566,22,3,2021,Schistosomiasis,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Trachoma,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Dengue,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Malaria,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Ebola,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Zika virus,3,moderate and severe,1,0,0,0
EUR,44566,22,3,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
SEAR,44565,22,3,2021,Chagas disease,3,moderate and severe,3,0,0,0
SEAR,44565,22,3,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
SEAR,44565,22,3,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
SEAR,44565,22,3,2021,Ebola,3,moderate and severe,3,0,0,0
SEAR,44565,22,3,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
SEAR,44565,22,3,2021,Zika virus,3,moderate and severe,3,0,0,0
SEAR,44565,22,3,2021,Chagas disease,3,moderate and severe,1,0,0,0
SEAR,44565,22,3,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
SEAR,44565,22,3,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
SEAR,44565,22,3,2021,Ebola,3,moderate and severe,1,0,0,0
SEAR,44565,22,3,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
SEAR,44565,22,3,2021,Zika virus,3,moderate and severe,1,0,0,0
WPR,44568,22,3,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
WPR,44568,22,3,2021,Ebola,3,moderate and severe,3,0,0,0
WPR,44568,22,3,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
WPR,44568,22,3,2021,Zika virus,3,moderate and severe,3,0,0,0
WPR,44568,22,3,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
WPR,44568,22,3,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
WPR,44568,22,3,2021,Ebola,3,moderate and severe,1,0,0,0
WPR,44568,22,3,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
WPR,44568,22,3,2021,Zika virus,3,moderate and severe,1,0,0,0
WPR,44568,22,3,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Chagas disease,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Zika virus,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Chlamydial infection,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Gonococcal infection,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Other sexually transmitted infections,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Cervical cancer,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Uterine cancer,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Ovarian cancer,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Other gynecological diseases,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Endometriosis,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Uterine fibroids,3,moderate and severe,3,0,0,0
AFR,44563,22,1,2021,Chagas disease,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Zika virus,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Chlamydial infection,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Gonococcal infection,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Other sexually transmitted infections,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Cervical cancer,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Uterine cancer,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Ovarian cancer,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Other gynecological diseases,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Endometriosis,3,moderate and severe,1,0,0,0
AFR,44563,22,1,2021,Uterine fibroids,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Ebola,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Chlamydial infection,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Gonococcal infection,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Other sexually transmitted infections,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Cervical cancer,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Uterine cancer,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Ovarian cancer,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Other gynecological diseases,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Endometriosis,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Uterine fibroids,3,moderate and severe,3,0,0,0
AMR,44564,22,1,2021,Ebola,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Chlamydial infection,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Gonococcal infection,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Other sexually transmitted infections,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Cervical cancer,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Uterine cancer,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Ovarian cancer,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Other gynecological diseases,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Endometriosis,3,moderate and severe,1,0,0,0
AMR,44564,22,1,2021,Uterine fibroids,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Chagas disease,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Ebola,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Zika virus,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Chlamydial infection,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Gonococcal infection,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Other sexually transmitted infections,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Cervical cancer,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Uterine cancer,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Ovarian cancer,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Other gynecological diseases,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Endometriosis,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Uterine fibroids,3,moderate and severe,3,0,0,0
EMR,44567,22,1,2021,Chagas disease,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Ebola,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Zika virus,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Chlamydial infection,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Gonococcal infection,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Other sexually transmitted infections,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Cervical cancer,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Uterine cancer,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Ovarian cancer,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Other gynecological diseases,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Endometriosis,3,moderate and severe,1,0,0,0
EMR,44567,22,1,2021,Uterine fibroids,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Schistosomiasis,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Trachoma,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Dengue,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Malaria,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Ebola,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Zika virus,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Chlamydial infection,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Gonococcal infection,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Other sexually transmitted infections,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Cervical cancer,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Uterine cancer,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Ovarian cancer,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Other gynecological diseases,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Endometriosis,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Uterine fibroids,3,moderate and severe,3,0,0,0
EUR,44566,22,1,2021,Schistosomiasis,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Trachoma,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Dengue,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Malaria,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Ebola,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Zika virus,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Chlamydial infection,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Gonococcal infection,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Other sexually transmitted infections,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Cervical cancer,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Uterine cancer,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Ovarian cancer,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Other gynecological diseases,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Endometriosis,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Uterine fibroids,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Chagas disease,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Food-borne trematodiases,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Ebola,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Zika virus,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Chlamydial infection,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Gonococcal infection,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Other sexually transmitted infections,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Cervical cancer,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Uterine cancer,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Ovarian cancer,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Other gynecological diseases,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Endometriosis,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Uterine fibroids,3,moderate and severe,3,0,0,0
SEAR,44565,22,1,2021,Chagas disease,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Food-borne trematodiases,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Ebola,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Zika virus,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Chlamydial infection,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Gonococcal infection,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Other sexually transmitted infections,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Cervical cancer,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Uterine cancer,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Ovarian cancer,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Other gynecological diseases,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Endometriosis,3,moderate and severe,1,0,0,0
SEAR,44565,22,1,2021,Uterine fibroids,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Ebola,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,African trypanosomiasis,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Zika virus,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Chlamydial infection,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Gonococcal infection,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Other sexually transmitted infections,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Cervical cancer,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Uterine cancer,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Ovarian cancer,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Other gynecological diseases,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Endometriosis,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Uterine fibroids,3,moderate and severe,3,0,0,0
WPR,44568,22,1,2021,Onchocerciasis,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Ebola,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,African trypanosomiasis,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Zika virus,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Maternal obstructed labor and uterine rupture,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Chlamydial infection,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Gonococcal infection,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Other sexually transmitted infections,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Cervical cancer,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Uterine cancer,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Ovarian cancer,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Other gynecological diseases,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Endometriosis,3,moderate and severe,1,0,0,0
WPR,44568,22,1,2021,Uterine fibroids,3,moderate and severe,1,0,0,0
EUR,44566,22,1,2021,Upper respiratory infections,3,moderate and severe,1,3612.54848856157,2692.52118952435,4635.64138205993
EUR,44566,22,1,2021,Chagas disease,3,moderate and severe,1,388.102604682314,301.365554255283,498.413108431666
EUR,44566,22,1,2021,Iodine deficiency,3,moderate and severe,1,14342.1546514503,3542.27870580105,21263.1204825942
EUR,44566,22,1,2021,Vitamin A deficiency,3,moderate and severe,1,4466.55098406865,3201.13427716693,5908.96222463001
EUR,44566,22,1,2021,Other unspecified infectious diseases,3,moderate and severe,1,771.806951314655,550.390033005766,1074.68721344835
EUR,44566,22,1,2021,Esophageal cancer,3,moderate and severe,1,24654.4818288509,22997.0766382811,26100.4120807291
EUR,44566,22,1,2021,Stomach cancer,3,moderate and severe,1,53588.5182541388,49794.3756901432,56983.2903473971
EUR,44566,22,1,2021,injuries,3,moderate and severe,1,6617147.67836743,6334589.03495875,6935540.36335558
EUR,44566,22,1,2021,Liver cancer due to hepatitis B,3,moderate and severe,1,3983.34322681831,2962.39111317717,5156.19630976526
EUR,44566,22,1,2021,Liver cancer due to hepatitis C,3,moderate and severe,1,7301.81516412378,5915.89332474801,8779.24847348272
EUR,44566,22,1,2021,Liver cancer due to alcohol use,3,moderate and severe,1,10314.0136126389,8665.88968484154,12115.0835458458
